Time,PM1 (µg/m³),PM2.5 (µg/m³),PM10 (µg/m³),TSP (µg/m³),8PC0.3 (/L),8PC0.5 (/L),8PC0.7 (/L),8PC1.0 (/L),8PC2.0 (/L),8PC3.0 (/L),8PC5.0 (/L),8PC10 (/L),Battery voltage (V),Inlet,Year,Month,Day of Year,Week of Year,Day of Week
2023-02-26 20:30:00,0.4436666666666666,0.686666666666667,1.3476666666666668,1.706833333333333,2332.1,235.46666666666667,92.08333333333333,66.33333333333333,34.11666666666667,10.283333333333333,2.716666666666667,0.03333333333333333,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 21:30:00,0.31599999999999995,0.8358333333333337,2.100333333333334,3.0580000000000003,1553.85,340.2,188.28333333333333,142.8,73.28333333333333,20.066666666666666,5.05,0.25,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 22:30:00,0.18850000000000008,0.3563333333333334,0.7891666666666666,1.0284999999999997,926.8166666666667,144.85,63.7,44.3,21.316666666666666,5.983333333333333,1.9666666666666666,0.03333333333333333,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 23:30:00,0.27116666666666667,0.36766666666666664,0.5596666666666668,0.846833333333333,1389.5166666666667,132.5,39.8,24.133333333333333,10.25,3.183333333333333,0.7833333333333333,0.03333333333333333,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-27 00:30:00,0.41883333333333334,0.5291666666666667,0.682,0.9211666666666668,2135.516666666667,189.65,46.38333333333333,25.316666666666666,8.766666666666667,2.2333333333333334,0.6166666666666667,0.06666666666666667,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 01:30:00,0.19233333333333347,0.28233333333333344,0.49833333333333346,0.8338333333333334,992.0833333333334,100.88333333333334,35.31666666666667,23.466666666666665,10.516666666666667,3.0833333333333335,1.0333333333333334,0.05,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 02:30:00,0.106,0.18316666666666667,0.3708333333333334,0.6103333333333334,518.8166666666667,75.13333333333334,30.666666666666668,20.35,9.033333333333333,2.7666666666666666,0.7833333333333333,0.03333333333333333,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 03:30:00,0.09199999999999996,0.16400000000000006,0.30050000000000004,0.5880000000000002,449.78333333333336,67.03333333333333,28.216666666666665,18.583333333333332,7.65,2.2333333333333334,0.5666666666666667,0.0,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 04:30:00,0.06716666666666667,0.13266666666666668,0.222,0.26999999999999996,314.28333333333336,58.46666666666667,24.266666666666666,16.533333333333335,6.383333333333334,1.4333333333333333,0.18333333333333332,0.0,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 05:30:00,0.08349999999999999,0.14916666666666673,0.2676666666666666,0.4591666666666666,408.98333333333335,60.55,25.483333333333334,16.733333333333334,6.6,1.7166666666666666,0.43333333333333335,0.03333333333333333,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 06:30:00,0.09366666666666666,0.15933333333333338,0.2883333333333332,0.4315,461.53333333333336,64.15,24.816666666666666,16.516666666666666,6.85,1.8666666666666667,0.5166666666666667,0.0,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 07:30:00,0.17683333333333343,0.26483333333333337,0.42333333333333345,0.6149999999999998,909.7666666666667,94.21666666666667,33.95,22.316666666666666,9.35,2.45,0.5666666666666667,0.03333333333333333,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 08:30:00,0.2573333333333333,0.38249999999999995,0.6066666666666667,0.9420000000000001,1331.75,134.93333333333334,49.28333333333333,31.05,12.3,3.0,1.0,0.1,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 09:30:00,0.27366666666666656,0.3888333333333335,0.5458333333333333,0.6176666666666668,1437.25,128.95,44.68333333333333,27.733333333333334,10.733333333333333,2.25,0.5333333333333333,0.0,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 10:30:00,0.18833333333333332,0.3851666666666666,0.8563333333333334,1.2631666666666668,920.6833333333333,158.48333333333332,74.06666666666666,53.1,25.366666666666667,7.45,2.0,0.06666666666666667,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 11:30:00,0.17516666666666664,0.36933333333333335,0.8493333333333334,1.1845000000000003,832.7333333333333,160.03333333333333,73.65,51.71666666666667,24.083333333333332,6.966666666666667,2.2333333333333334,0.03333333333333333,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 12:30:00,0.1406666666666667,0.3086666666666667,0.7279999999999996,1.0629999999999997,654.2333333333333,137.66666666666666,63.9,45.65,22.483333333333334,6.833333333333333,1.6666666666666667,0.03333333333333333,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 13:30:00,0.17733333333333334,0.4538333333333334,1.5751666666666657,3.4901666666666666,861.3333333333334,193.91666666666666,104.75,82.68333333333334,47.016666666666666,16.9,5.95,0.5666666666666667,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 14:30:00,0.2978333333333333,1.8844999999999996,20.509166666666665,90.8145,1747.1833333333334,933.35,732.2166666666667,655.2833333333333,500.28333333333336,272.6,128.28333333333333,24.45,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 15:30:00,0.18783333333333344,0.4233333333333334,2.2135000000000002,8.008,942.6666666666666,187.0,101.01666666666667,81.98333333333333,54.43333333333333,26.6,11.55,1.95,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 16:30:00,0.20983333333333343,0.3741666666666666,1.3716666666666666,3.526666666666669,1077.9166666666667,147.13333333333333,67.7,51.916666666666664,31.95,13.85,6.133333333333334,0.5833333333333334,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 17:30:00,0.1970000000000001,0.3355,1.0836666666666668,3.238999999999999,994.0166666666667,136.18333333333334,58.05,42.666666666666664,25.383333333333333,10.9,4.55,0.65,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 18:30:00,0.3443333333333334,0.5106666666666668,1.2853333333333332,3.4166666666666674,1818.2833333333333,175.83333333333334,67.1,49.28333333333333,28.366666666666667,11.283333333333333,4.75,0.7,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 19:30:00,0.4934999999999999,0.6656666666666665,1.5471666666666666,4.492,2603.116666666667,224.0,72.76666666666667,51.65,29.733333333333334,12.85,5.633333333333334,0.9,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 20:30:00,0.3713333333333333,0.5276666666666666,1.214333333333333,2.6033333333333326,1931.0833333333333,186.83333333333334,63.833333333333336,44.81666666666667,24.333333333333332,9.466666666666667,4.1,0.3333333333333333,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 21:30:00,2.3938333333333337,4.7458333333333345,8.848999999999998,11.626166666666666,11930.6,1851.3833333333334,856.1666666666666,613.4,284.8833333333333,64.91666666666667,14.4,0.8333333333333334,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 22:30:00,0.4971666666666664,1.0946666666666667,2.309166666666667,3.2904999999999993,2400.4166666666665,454.78333333333336,219.98333333333332,157.86666666666667,73.98333333333333,18.683333333333334,4.85,0.2,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-27 23:30:00,0.37250000000000016,0.5836666666666666,1.1373333333333335,1.8315,1884.9666666666667,220.71666666666667,82.25,56.35,26.116666666666667,8.033333333333333,2.7,0.11666666666666667,0.0,Sample,2023.0,2.0,58.0,9.0,0.0
2023-02-28 00:30:00,0.3905,0.6271666666666668,1.179,2.2800000000000007,1918.6666666666667,254.83333333333334,93.03333333333333,62.06666666666667,28.316666666666666,8.483333333333333,2.6666666666666665,0.3,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
2023-02-28 01:30:00,0.40116666666666656,0.6065,1.1415,1.9553333333333331,2025.6333333333334,229.8,81.36666666666666,53.56666666666667,24.766666666666666,7.483333333333333,2.8666666666666667,0.18333333333333332,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
2023-02-28 02:30:00,0.19100000000000014,0.3448333333333332,0.6888333333333335,1.024166666666667,903.5833333333334,150.28333333333333,60.333333333333336,39.38333333333333,17.533333333333335,4.783333333333333,1.65,0.03333333333333333,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
2023-02-28 03:30:00,0.24016666666666656,0.44966666666666677,0.914833333333333,1.4654999999999998,1114.4833333333333,201.21666666666667,81.45,54.3,24.283333333333335,6.7,2.183333333333333,0.06666666666666667,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
2023-02-28 04:30:00,0.18966666666666662,0.34800000000000003,0.8398333333333332,1.9898333333333336,896.8333333333334,152.53333333333333,63.15,42.833333333333336,21.45,6.95,2.7666666666666666,0.3,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
2023-02-28 05:30:00,0.3485,0.8568333333333334,1.8716666666666668,2.949333333333333,1571.8333333333333,387.8333333333333,189.06666666666666,134.38333333333333,61.55,16.25,4.016666666666667,0.21666666666666667,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
2023-02-28 06:30:00,1.7998333333333332,2.266833333333333,3.0921666666666665,4.2891666666666675,9193.9,808.8166666666667,196.5,112.26666666666667,45.25,12.733333333333333,3.65,0.31666666666666665,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
2023-02-28 07:30:00,1.5636666666666672,1.9968333333333326,2.7519999999999993,3.4466666666666668,8033.183333333333,701.0666666666667,179.11666666666667,104.65,43.31666666666667,11.6,3.0833333333333335,0.11666666666666667,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
2023-02-28 08:30:00,1.9933333333333336,2.335833333333334,2.946666666666667,3.6895000000000007,10454.566666666668,743.15,146.73333333333332,80.78333333333333,32.53333333333333,9.05,2.8333333333333335,0.16666666666666666,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
2023-02-28 09:30:00,2.0680000000000005,2.3569999999999993,2.852333333333333,3.427,11176.75,649.1333333333333,122.13333333333334,68.68333333333334,27.216666666666665,7.4,2.2666666666666666,0.11666666666666667,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
2023-02-28 10:30:00,0.21566666666666665,0.33599999999999997,0.6854999999999999,1.2601666666666667,1103.9666666666667,125.16666666666667,47.78333333333333,32.4,16.316666666666666,5.233333333333333,1.6166666666666667,0.11666666666666667,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
2023-02-28 11:30:00,0.16101694915254244,0.25983050847457617,0.5538983050847459,1.0410169491525425,806.3050847457627,102.32203389830508,39.83050847457627,26.35593220338983,12.728813559322035,4.372881355932203,1.4576271186440677,0.15254237288135594,0.0,Sample,2023.0,2.0,59.0,9.0,1.0
